accommodationId,coordinates.latitude,coordinates.longitude,details.name,details.stars,details.address.first,details.address.last,title
1046654,45.44645309448242,8.613515853881836,Hotel Croce Di Malta,3,"Via Biglieri 2A,","28100 Novara, NO, Italia",hotel 3*
24709843,45.450321197509766,8.624628067016602,Hotel Stazione,2,"Viale Manzoni 4 C,","28100 Novara, NO, Italia",hotel 2*
12349123,45.44428253173828,8.64682674407959,Hotel Cristallo,3,"Corso Milano 60D,","28100 Novara, NO, Italia",hotel 3*
15476238,45.44453430175781,8.621392250061035,Albergo Italia,4,"Via Generale Paolo Solaroli, 8/10,","28100 Novara, NO, Italia",hotel 4*
15520588,45.43618392944336,8.61567211151123,Hotel La Bussola,4,"Via Boggiani 54,","28100 Novara, NO, Italia",hotel 4*
1792261,45.450775146484375,8.623381614685059,Hotel Cavour,4,"Via San Francesco D'Assisi 6,","28100 Novara, NO, Italia",hotel 4*
16394040,45.37663269042969,8.583680152893066,Hotel Novarello Resort & Spa,4,"Via Dante Graziosi 1,","28060 Granozzo con Monticello, NO, Italia",hotel 4*
2060886,45.449607849121094,8.639409065246582,Bella Italia Palace Hotel,4,"Corso Trieste 54,","28100 Novara, NO, Italia",hotel 4*
94933882,45.41081237792969,8.588656425476074,La Torre Dei Canonici,0,"Via San Rocco 17,","28100 Novara, NO, Italia",hotel
2517627,45.78118515014648,10.044293403625488,Hotel Miranda,3,"Via Cornello 8,","24060 Riva di Solto, BG, Italia",hotel 3*
27261663,45.79193115234375,9.95864486694336,Albergo La Romanella,3,"Via Nazionale 3600 - Ranzanico a Lago,","24060 Ranzanico, BG, Italia",hotel 3*
13079410,45.76373672485352,10.02897834777832,Esprit D'hotel Panoramico,3,"Via Palazzine 30,","24060 Fonteno, BG, Italia",hotel 3*
24876998,46.2158203125,10.172672271728516,Albergo Gusmeroli,2,"Piazza Cavour 5,","23037 Tirano, SO, Italia",hotel 2*
13328814,46.17757797241211,9.985687255859377,Hotel Albrici,3,"Via Sant Ignazio 8,","23026 Ponte in Valtellina, SO, Italia",hotel 3*
